catalog_id	namespace	leaf	fq_name	abi_symbol
augmentation.spectral.unsharp_mask	augmentation.spectral	unsharp_mask	n4m.augmentation.spectral.unsharp_mask	n4m_aug_unsharp_mask_apply
augmentation.splines.spline_curve_simplification	augmentation.splines	spline_curve_simplification	n4m.augmentation.splines.spline_curve_simplification	n4m_aug_spline_curve_simplify_apply
augmentation.splines.spline_smoothing	augmentation.splines	spline_smoothing	n4m.augmentation.splines.spline_smoothing	n4m_aug_spline_smooth_apply
augmentation.splines.spline_x_perturbations	augmentation.splines	spline_x_perturbations	n4m.augmentation.splines.spline_x_perturbations	n4m_aug_spline_x_perturb_apply
augmentation.splines.spline_x_simplification	augmentation.splines	spline_x_simplification	n4m.augmentation.splines.spline_x_simplification	n4m_aug_spline_x_simplify_apply
augmentation.splines.spline_y_perturbations	augmentation.splines	spline_y_perturbations	n4m.augmentation.splines.spline_y_perturbations	n4m_aug_spline_y_perturb_apply
augmentation.wavelength.local_warp	augmentation.wavelength	local_warp	n4m.augmentation.wavelength.local_warp	n4m_aug_local_warp_apply
augmentation.wavelength.wavelength_shift	augmentation.wavelength	wavelength_shift	n4m.augmentation.wavelength.wavelength_shift	n4m_aug_wavelength_shift_apply
augmentation.wavelength.wavelength_stretch	augmentation.wavelength	wavelength_stretch	n4m.augmentation.wavelength.wavelength_stretch	n4m_aug_wavelength_stretch_apply
aom_pop.aom_pls_superblock	compose.aom_superblock	aom_pls_superblock	n4m.compose.aom_superblock.aom_pls_superblock	
aom_pop.aom_ridge_pls_superblock	compose.aom_superblock	aom_ridge_pls_superblock	n4m.compose.aom_superblock.aom_ridge_pls_superblock	
aom_pop.ridge_active_superblock	compose.aom_superblock	ridge_active_superblock	n4m.compose.aom_superblock.ridge_active_superblock	
aom_pop.ridge_mkl_superblock	compose.aom_superblock	ridge_mkl_superblock	n4m.compose.aom_superblock.ridge_mkl_superblock	
aom_pop.ridge_superblock	compose.aom_superblock	ridge_superblock	n4m.compose.aom_superblock.ridge_superblock	
preprocessing.feature_selection.flexible_pca	decomposition	flexible_pca	n4m.decomposition.flexible_pca	n4m_pp_flex_pca_create
preprocessing.feature_selection.flexible_svd	decomposition	flexible_svd	n4m.decomposition.flexible_svd	n4m_pp_flex_svd_create
models.transfer.di_pls	domain_adaptation.invariant	di_pls	n4m.domain_adaptation.invariant.di_pls	n4m_di_pls_fit
utilities.transfer_metrics	domain_adaptation.metrics	transfer_metrics	n4m.domain_adaptation.metrics.transfer_metrics	n4m_transfer_metrics_compute
preprocessing.orthogonalization.epo	domain_adaptation.orthogonalization	epo	n4m.domain_adaptation.orthogonalization.epo	n4m_pp_epo_create
preprocessing.transfer.direct_standardization	domain_adaptation.standardization	direct_standardization	n4m.domain_adaptation.standardization.direct_standardization	n4m_pp_direct_standardization_create
models.transfer.ds	domain_adaptation.standardization	ds	n4m.domain_adaptation.standardization.ds	n4m_ds_fit
models.transfer.pds	domain_adaptation.standardization	pds	n4m.domain_adaptation.standardization.pds	n4m_pds_fit
preprocessing.transfer.piecewise_direct_standardization	domain_adaptation.standardization	piecewise_direct_standardization	n4m.domain_adaptation.standardization.piecewise_direct_standardization	n4m_pp_piecewise_direct_standardization_create
preprocessing.transfer.robust_direct_standardization	domain_adaptation.standardization	robust_direct_standardization	n4m.domain_adaptation.standardization.robust_direct_standardization	n4m_pp_robust_direct_standardization_create
preprocessing.transfer.slope_bias	domain_adaptation.standardization	slope_bias	n4m.domain_adaptation.standardization.slope_bias	n4m_pp_slope_bias_create
aom_pop.operator_pls_stack	ensemble	aom_operator_pls_stack	n4m.ensemble.aom_operator_pls_stack	n4m_aom_operator_pls_stack_fit
aom_pop.ridge_blender	ensemble	aom_ridge_blender	n4m.ensemble.aom_ridge_blender	n4m_aom_ridge_blender_fit
models.ensembles.bagging_pls	ensemble	bagging_pls	n4m.ensemble.bagging_pls	n4m_bagging_pls_fit
models.ensembles.boosting_pls	ensemble	boosting_pls	n4m.ensemble.boosting_pls	n4m_boosting_pls_fit
models.ensembles.moment_stack	ensemble	moment_stack	n4m.ensemble.moment_stack	
models.ensembles.random_subspace_pls	ensemble	random_subspace_pls	n4m.ensemble.random_subspace_pls	n4m_random_subspace_pls_fit
models.classification.pls_lda	estimators.classification	pls_lda	n4m.estimators.classification.pls_lda	n4m_pls_lda_fit
models.classification.pls_logistic	estimators.classification	pls_logistic	n4m.estimators.classification.pls_logistic	n4m_pls_logistic_fit
models.classification.pls_qda	estimators.classification	pls_qda	n4m.estimators.classification.pls_qda	n4m_pls_qda_fit
models.sparse.sparse_pls_da	estimators.classification	sparse_pls_da	n4m.estimators.classification.sparse_pls_da	n4m_sparse_pls_da_fit
models.multiblock.mb_pls	estimators.multiblock	mb_pls	n4m.estimators.multiblock.mb_pls	n4m_mb_pls_fit
models.multiblock.mir_pls	estimators.multiblock	mir_pls	n4m.estimators.multiblock.mir_pls	n4m_mir_pls_fit
models.multiblock.o2pls	estimators.multiblock	o2pls	n4m.estimators.multiblock.o2pls	n4m_o2pls_fit
models.multiblock.on_pls	estimators.multiblock	on_pls	n4m.estimators.multiblock.on_pls	n4m_on_pls_fit
models.multiblock.rosa	estimators.multiblock	rosa	n4m.estimators.multiblock.rosa	n4m_rosa_fit
models.multiblock.so_pls	estimators.multiblock	so_pls	n4m.estimators.multiblock.so_pls	n4m_so_pls_fit
models.heads.pls_glm	estimators.regression.glm	pls_glm	n4m.estimators.regression.glm.pls_glm	n4m_pls_glm_fit
models.specialized.gpr_pls	estimators.regression.kernel	gpr_pls	n4m.estimators.regression.kernel.gpr_pls	n4m_gpr_pls_fit
models.pls.kernel	estimators.regression.kernel	kernel_pls	n4m.estimators.regression.kernel.kernel_pls	n4m_kernel_pls_fit
models.regularized.continuum_regression	estimators.regression.latent	continuum_regression	n4m.estimators.regression.latent.continuum_regression	n4m_continuum_regression_fit
models.pls.cppls	estimators.regression.latent	cppls	n4m.estimators.regression.latent.cppls	n4m_cppls_fit
models.specialized.ecr	estimators.regression.latent	ecr	n4m.estimators.regression.latent.ecr	n4m_ecr_fit
models.specialized.missing_aware_nipals	estimators.regression.latent	missing_aware_nipals	n4m.estimators.regression.latent.missing_aware_nipals	n4m_missing_aware_nipals_fit
models.pls.pcr	estimators.regression.latent	pcr	n4m.estimators.regression.latent.pcr	n4m_pcr_fit
models.pls.pls_fit_simple	estimators.regression.latent	pls	n4m.estimators.regression.latent.pls	n4m_pls_fit_simple
models.local.lw_pls	estimators.regression.local	lw_pls	n4m.estimators.regression.local.lw_pls	n4m_lw_pls_fit
models.specialized.recursive	estimators.regression.online	recursive_pls	n4m.estimators.regression.online.recursive_pls	n4m_recursive_pls_run
models.regularized.ridge	estimators.regression.regularized	ridge	n4m.estimators.regression.regularized.ridge	n4m_ridge_fit
models.regularized.ridge_pls	estimators.regression.regularized	ridge_pls	n4m.estimators.regression.regularized.ridge_pls	n4m_ridge_pls_fit
models.regularized.robust_pls	estimators.regression.robust	robust_pls	n4m.estimators.regression.robust.robust_pls	n4m_robust_pls_fit
models.regularized.weighted_pls	estimators.regression.robust	weighted_pls	n4m.estimators.regression.robust.weighted_pls	n4m_weighted_pls_fit
models.sparse.fused_sparse_pls	estimators.regression.sparse	fused_sparse_pls	n4m.estimators.regression.sparse.fused_sparse_pls	n4m_fused_sparse_pls_fit
models.sparse.group_sparse_pls	estimators.regression.sparse	group_sparse_pls	n4m.estimators.regression.sparse.group_sparse_pls	n4m_group_sparse_pls_fit
models.sparse.sparse_simpls	estimators.regression.sparse	sparse_simpls	n4m.estimators.regression.sparse.sparse_simpls	n4m_sparse_simpls_fit
models.specialized.tensor_pls	estimators.regression.tensor	n_pls	n4m.estimators.regression.tensor.n_pls	n4m_n_pls_fit
models.heads.pls_cox	estimators.survival	pls_cox	n4m.estimators.survival.pls_cox	n4m_pls_cox_fit
filters.correlation	feature_selection.filter	correlation	n4m.feature_selection.filter.correlation	n4m_filter_correlation_create
filters.variance	feature_selection.filter	variance	n4m.feature_selection.filter.variance	n4m_filter_variance_create
selection.interval	feature_selection.interval	interval	n4m.feature_selection.interval.interval	n4m_interval_generator_create
selection.variable_select	feature_selection.ranking	variable_select	n4m.feature_selection.ranking.variable_select	n4m_variable_select_rank
selection.bipls	feature_selection.wrapper	bipls	n4m.feature_selection.wrapper.bipls	n4m_bipls_select
selection.bve	feature_selection.wrapper	bve	n4m.feature_selection.wrapper.bve	n4m_bve_select
selection.cars	feature_selection.wrapper	cars	n4m.feature_selection.wrapper.cars	n4m_cars_select
selection.emcuve	feature_selection.wrapper	emcuve	n4m.feature_selection.wrapper.emcuve	n4m_emcuve_select
selection.ga	feature_selection.wrapper	ga	n4m.feature_selection.wrapper.ga	n4m_ga_select
selection.ipw	feature_selection.wrapper	ipw	n4m.feature_selection.wrapper.ipw	n4m_ipw_select
selection.irf	feature_selection.wrapper	irf	n4m.feature_selection.wrapper.irf	n4m_irf_select
selection.iriv	feature_selection.wrapper	iriv	n4m.feature_selection.wrapper.iriv	n4m_iriv_select
selection.pso	feature_selection.wrapper	pso	n4m.feature_selection.wrapper.pso	n4m_pso_select
selection.random_frog	feature_selection.wrapper	random_frog	n4m.feature_selection.wrapper.random_frog	n4m_random_frog_select
selection.randomization	feature_selection.wrapper	randomization	n4m.feature_selection.wrapper.randomization	n4m_randomization_select
selection.rep	feature_selection.wrapper	rep	n4m.feature_selection.wrapper.rep	n4m_rep_select
selection.scars	feature_selection.wrapper	scars	n4m.feature_selection.wrapper.scars	n4m_scars_select
selection.shaving	feature_selection.wrapper	shaving	n4m.feature_selection.wrapper.shaving	n4m_shaving_select
selection.sipls	feature_selection.wrapper	sipls	n4m.feature_selection.wrapper.sipls	n4m_sipls_select
selection.spa	feature_selection.wrapper	spa	n4m.feature_selection.wrapper.spa	n4m_spa_select
selection.st	feature_selection.wrapper	st	n4m.feature_selection.wrapper.st	n4m_st_select
selection.stability	feature_selection.wrapper	stability	n4m.feature_selection.wrapper.stability	n4m_stability_select
selection.t2	feature_selection.wrapper	t2	n4m.feature_selection.wrapper.t2	n4m_t2_select
selection.uve	feature_selection.wrapper	uve	n4m.feature_selection.wrapper.uve	n4m_uve_select
selection.vip_spa	feature_selection.wrapper	vip_spa	n4m.feature_selection.wrapper.vip_spa	n4m_vip_spa_select
selection.vissa	feature_selection.wrapper	vissa	n4m.feature_selection.wrapper.vissa	n4m_vissa_select
selection.wvc	feature_selection.wrapper	wvc	n4m.feature_selection.wrapper.wvc	n4m_wvc_select
selection.wvc_threshold	feature_selection.wrapper	wvc_threshold	n4m.feature_selection.wrapper.wvc_threshold	n4m_wvc_threshold_select
utilities.moments	lowlevel.moments	moments	n4m.lowlevel.moments.moments	n4m_moments_compute
diagnostics.pls_diagnostics	metrics.diagnostics	pls_diagnostics	n4m.metrics.diagnostics.pls_diagnostics	n4m_pls_diagnostics_compute
diagnostics.pls_monitoring	metrics.diagnostics	pls_monitoring	n4m.metrics.diagnostics.pls_monitoring	n4m_pls_monitoring_run
diagnostics.approximate_press	metrics.scoring	approximate_press	n4m.metrics.scoring.approximate_press	n4m_approximate_press_compute
diagnostics.model_selection	metrics.scoring	one_se_rule	n4m.metrics.scoring.one_se_rule	n4m_one_se_rule_compute
diagnostics.regression_metrics	metrics.scoring	regression_metrics	n4m.metrics.scoring.regression_metrics	n4m_metric_bias
aom_pop.aom_chain_screen_refit	model_selection.aom_campaign	aom_chain_screen_refit	n4m.model_selection.aom_campaign.aom_chain_screen_refit	
aom_pop.aom_staged_chain_campaign	model_selection.aom_campaign	aom_staged_chain_campaign	n4m.model_selection.aom_campaign.aom_staged_chain_campaign	
aom_pop.aom_chain_fixed_fit	model_selection.aom_search	aom_chain_fixed_fit	n4m.model_selection.aom_search.aom_chain_fixed_fit	n4m_aom_chain_fixed_fit_run
aom_pop.aom_chain_ridge_pls	model_selection.aom_search	aom_chain_ridge_pls	n4m.model_selection.aom_search.aom_chain_ridge_pls	
aom_pop.aom_chain_sweep	model_selection.aom_search	aom_chain_sweep	n4m.model_selection.aom_search.aom_chain_sweep	n4m_aom_chain_sweep_run
aom_pop.aom_pls	model_selection.aom_search	aom_pls	n4m.model_selection.aom_search.aom_pls	n4m_aom_global_result_destroy
aom_pop.aom_preprocessing	model_selection.aom_search	aom_preprocessing	n4m.model_selection.aom_search.aom_preprocessing	n4m_aom_preprocess_fit
aom_pop.aom_sweep	model_selection.aom_search	aom_sweep	n4m.model_selection.aom_search.aom_sweep	n4m_aom_sweep_run
aom_pop.pop_pls	model_selection.aom_search	pop_pls	n4m.model_selection.aom_search.pop_pls	n4m_aom_per_component_result_destroy
aom_pop.ridge_global	model_selection.aom_search	ridge_global	n4m.model_selection.aom_search.ridge_global	
aom_pop.robust_hpo	model_selection.aom_search	robust_hpo	n4m.model_selection.aom_search.robust_hpo	n4m_aom_robust_hpo_fit
splitters.binned_strat_group_kfold	model_selection.splitters	binned_strat_group_kfold	n4m.model_selection.splitters.binned_strat_group_kfold	n4m_split_binned_strat_group_kfold_create
splitters.split_splitter	model_selection.splitters	data_twinning	n4m.model_selection.splitters.data_twinning	n4m_split_split_splitter_create
splitters.kbins_stratified	model_selection.splitters	kbins_stratified	n4m.model_selection.splitters.kbins_stratified	n4m_split_kbins_stratified_create
splitters.kennard_stone	model_selection.splitters	kennard_stone	n4m.model_selection.splitters.kennard_stone	n4m_split_kennard_stone_create
splitters.kmeans	model_selection.splitters	kmeans	n4m.model_selection.splitters.kmeans	n4m_split_kmeans_create
splitters.spxy	model_selection.splitters	spxy	n4m.model_selection.splitters.spxy	n4m_split_spxy_create
splitters.spxy_fold	model_selection.splitters	spxy_fold	n4m.model_selection.splitters.spxy_fold	n4m_split_spxy_fold_create
splitters.spxy_g_fold	model_selection.splitters	spxy_g_fold	n4m.model_selection.splitters.spxy_g_fold	n4m_split_spxy_g_fold_create
splitters.systematic_circular	model_selection.splitters	systematic_circular	n4m.model_selection.splitters.systematic_circular	n4m_split_systematic_circular_create
utilities.sweep	model_selection.sweep	sweep	n4m.model_selection.sweep.sweep	n4m_sweep_run
filters.composite	outlier_detection	composite	n4m.outlier_detection.composite	n4m_filter_composite_add_leverage
filters.high_leverage	outlier_detection	high_leverage	n4m.outlier_detection.high_leverage	n4m_filter_leverage_apply
utilities.hotelling_t2	outlier_detection	hotelling_t2	n4m.outlier_detection.hotelling_t2	n4m_util_hotelling_t2
utilities.q_residuals	outlier_detection	q_residuals	n4m.outlier_detection.q_residuals	n4m_util_q_residuals
filters.spectral_quality	outlier_detection	spectral_quality	n4m.outlier_detection.spectral_quality	n4m_filter_quality_apply
filters.x_outlier	outlier_detection	x_outlier	n4m.outlier_detection.x_outlier	n4m_filter_x_outlier_apply
filters.y_outlier	outlier_detection	y_outlier	n4m.outlier_detection.y_outlier	n4m_filter_y_outlier_apply
preprocessing.alignment.cow_align	transform.alignment	cow_align	n4m.transform.alignment.cow_align	n4m_pp_cow_align_create
preprocessing.alignment.dtw_align	transform.alignment	dtw_align	n4m.transform.alignment.dtw_align	n4m_pp_dtw_align_create
preprocessing.alignment.icoshift_align	transform.alignment	icoshift_align	n4m.transform.alignment.icoshift_align	n4m_pp_icoshift_align_create
preprocessing.alignment.xcorr_align	transform.alignment	xcorr_align	n4m.transform.alignment.xcorr_align	n4m_pp_xcorr_align_create
preprocessing.baselines.airpls	transform.baseline	airpls	n4m.transform.baseline.airpls	n4m_pp_airpls_create
preprocessing.baselines.arpls	transform.baseline	arpls	n4m.transform.baseline.arpls	n4m_pp_arpls_create
preprocessing.baselines.asls	transform.baseline	asls	n4m.transform.baseline.asls	n4m_pp_asls_create
preprocessing.baselines.beads	transform.baseline	beads	n4m.transform.baseline.beads	n4m_pp_beads_create
preprocessing.baselines.detrend	transform.baseline	detrend	n4m.transform.baseline.detrend	n4m_pp_detrend_create
preprocessing.baselines.iasls	transform.baseline	iasls	n4m.transform.baseline.iasls	n4m_pp_iasls_create
preprocessing.baselines.imodpoly	transform.baseline	imodpoly	n4m.transform.baseline.imodpoly	n4m_pp_imodpoly_create
preprocessing.baselines.modpoly	transform.baseline	modpoly	n4m.transform.baseline.modpoly	n4m_pp_modpoly_create
preprocessing.baselines.rolling_ball	transform.baseline	rolling_ball	n4m.transform.baseline.rolling_ball	n4m_pp_rolling_ball_create
preprocessing.baselines.saps	transform.baseline	saps	n4m.transform.baseline.saps	n4m_pp_saps_create
preprocessing.baselines.snip	transform.baseline	snip	n4m.transform.baseline.snip	n4m_pp_snip_create
preprocessing.orthogonalization.osc	transform.orthogonalization	osc	n4m.transform.orthogonalization.osc	n4m_pp_osc_create
preprocessing.resampling.crop	transform.resampling	crop	n4m.transform.resampling.crop	n4m_pp_crop_create
preprocessing.resampling.kbins_discretizer	transform.resampling	kbins_discretizer	n4m.transform.resampling.kbins_discretizer	n4m_pp_kbins_disc_create
preprocessing.resampling.range_discretizer	transform.resampling	range_discretizer	n4m.transform.resampling.range_discretizer	n4m_pp_range_disc_create
preprocessing.resampling.resample_transformer	transform.resampling	resample_transformer	n4m.transform.resampling.resample_transformer	n4m_pp_resample_create
preprocessing.resampling.resampler	transform.resampling	resampler	n4m.transform.resampling.resampler	n4m_pp_resampler_create
preprocessing.scaling.baseline	transform.scaling	baseline_center	n4m.transform.scaling.baseline_center	n4m_pp_baseline_create
preprocessing.scaling.log_transform	transform.scaling	log_transform	n4m.transform.scaling.log_transform	n4m_pp_log_create
preprocessing.scaling.normalize	transform.scaling	normalize	n4m.transform.scaling.normalize	n4m_pp_normalize_create
preprocessing.scaling.simple_scale	transform.scaling	simple_scale	n4m.transform.scaling.simple_scale	n4m_pp_simple_scale_create
preprocessing.scatter.area_normalization	transform.scatter	area_normalization	n4m.transform.scatter.area_normalization	n4m_pp_area_create
preprocessing.scatter.emsc	transform.scatter	emsc	n4m.transform.scatter.emsc	n4m_pp_emsc_create
preprocessing.scatter.local_centering	transform.scatter	local_centering	n4m.transform.scatter.local_centering	n4m_pp_local_centering_create
preprocessing.scatter.local_snv	transform.scatter	local_snv	n4m.transform.scatter.local_snv	n4m_pp_lsnv_create
preprocessing.scatter.localized_msc	transform.scatter	localized_msc	n4m.transform.scatter.localized_msc	n4m_pp_localized_msc_create
preprocessing.scatter.msc	transform.scatter	msc	n4m.transform.scatter.msc	n4m_pp_msc_create
preprocessing.scatter.piecewise_msc	transform.scatter	piecewise_msc	n4m.transform.scatter.piecewise_msc	n4m_pp_piecewise_msc_create
preprocessing.scatter.piecewise_snv	transform.scatter	piecewise_snv	n4m.transform.scatter.piecewise_snv	n4m_pp_piecewise_snv_create
preprocessing.scatter.robust_snv	transform.scatter	robust_snv	n4m.transform.scatter.robust_snv	n4m_pp_rnv_create
preprocessing.scatter.snv	transform.scatter	snv	n4m.transform.scatter.snv	n4m_pp_snv_create
preprocessing.scatter.vsn	transform.scatter	vsn	n4m.transform.scatter.vsn	n4m_pp_vsn_create
preprocessing.scatter.weighted_snv	transform.scatter	weighted_snv	n4m.transform.scatter.weighted_snv	n4m_pp_weighted_snv_create
preprocessing.signal_conversion.fraction_to_percent	transform.signal_conversion	fraction_to_percent	n4m.transform.signal_conversion.fraction_to_percent	n4m_pp_frac_to_pct_create
preprocessing.signal_conversion.from_absorbance	transform.signal_conversion	from_absorbance	n4m.transform.signal_conversion.from_absorbance	n4m_pp_from_absorbance_create
preprocessing.signal_conversion.kubelka_munk	transform.signal_conversion	kubelka_munk	n4m.transform.signal_conversion.kubelka_munk	n4m_pp_kubelka_munk_create
preprocessing.signal_conversion.percent_to_fraction	transform.signal_conversion	percent_to_fraction	n4m.transform.signal_conversion.percent_to_fraction	n4m_pp_pct_to_frac_create
utilities.signal_type_detector	transform.signal_conversion	signal_type_detector	n4m.transform.signal_conversion.signal_type_detector	n4m_signal_detect
preprocessing.signal_conversion.to_absorbance	transform.signal_conversion	to_absorbance	n4m.transform.signal_conversion.to_absorbance	n4m_pp_to_absorbance_create
preprocessing.derivatives.derivate	transform.smoothing	derivative	n4m.transform.smoothing.derivative	n4m_pp_derivate_create
preprocessing.derivatives.first_derivative	transform.smoothing	first_derivative	n4m.transform.smoothing.first_derivative	n4m_pp_first_derivative_create
preprocessing.smoothing.gaussian	transform.smoothing	gaussian	n4m.transform.smoothing.gaussian	n4m_pp_gaussian_create
preprocessing.derivatives.norris_williams	transform.smoothing	norris_williams	n4m.transform.smoothing.norris_williams	n4m_pp_norris_williams_create
preprocessing.derivatives.savitzky_golay	transform.smoothing	savitzky_golay	n4m.transform.smoothing.savitzky_golay	n4m_pp_savgol_create
preprocessing.derivatives.second_derivative	transform.smoothing	second_derivative	n4m.transform.smoothing.second_derivative	n4m_pp_second_derivative_create
preprocessing.specialized.fck_static	transform.specialized	fck_static	n4m.transform.specialized.fck_static	n4m_pp_fck_static_create
preprocessing.wavelets.haar	transform.wavelet	haar	n4m.transform.wavelet.haar	n4m_pp_haar_create
preprocessing.wavelets.wavelet	transform.wavelet	wavelet	n4m.transform.wavelet.wavelet	n4m_pp_wavelet_create
preprocessing.wavelets.wavelet_denoise	transform.wavelet	wavelet_denoise	n4m.transform.wavelet.wavelet_denoise	n4m_pp_wavelet_denoise_create
preprocessing.wavelets.wavelet_features	transform.wavelet	wavelet_features	n4m.transform.wavelet.wavelet_features	n4m_pp_wavelet_features_create
preprocessing.wavelets.wavelet_pca	transform.wavelet	wavelet_pca	n4m.transform.wavelet.wavelet_pca	n4m_pp_wavelet_pca_create
preprocessing.wavelets.wavelet_svd	transform.wavelet	wavelet_svd	n4m.transform.wavelet.wavelet_svd	n4m_pp_wavelet_svd_create
